Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
QZ1	40.971	40.704	180.000	16.000 MHz	OSCCMS_CX2016DB	TOP
C1	21.271	56.778	0.000	220nF	C0805	BOTTOM
D1	25.952	57.031	0.000	MBR0540-T1	SOD123	BOTTOM
J1	19.921	61.509	270.000	JAE_ST1W008S4ER1500	JAE_ST1W008S4ER1500	BOTTOM
L1	27.720	48.142	0.000	8.2uH	XAL50	BOTTOM
R1	27.739	47.956	90.000	10K	R0603	TOP
U1	21.443	47.165	0.000	LT1765ES8#PBF	SOP008_127_0500_0620_175	BOTTOM
C2	16.978	47.380	270.000	10uF	C0805	BOTTOM
D2	24.211	53.365	0.000	B220A-13-F	SMA	BOTTOM
J2	1.407	50.922	270.000	S2B-PH-SM4-TB	S2B-PH-SM4-TB	BOTTOM
R2	16.331	65.533	180.000	20K	R0603	TOP
U2	40.815	51.766	0.000	STM32H743VIT6	TQFP100_050_1630_1630_160	TOP
C3	29.094	53.211	90.000	10uF	C0805	BOTTOM
D3	39.855	76.242	270.000	HSMF-C114	CHIPLED	TOP
R3	19.388	65.533	180.000	20K	R0603	TOP
U3	11.606	43.907	270.000	LT1762EMS8-5#PBF	MS08_065_300_300_110	BOTTOM
C4	20.433	41.613	90.000	2.2nF	C0603	BOTTOM
J4	56.959	43.000	0.000	PAD-1x1	PAD_1x1	TOP
R4	22.414	65.533	0.000	20K	R0603	TOP
U4	37.980	15.322	270.000	ESP32_DEVKITC	ESP32_DEVKITC	TOP
C5	51.256	56.070	90.000	2.2uF	C0603	TOP
J5	56.959	49.000	0.000	PAD-1x1	PAD_1x1	TOP
R5	31.614	31.158	90.000	1K	R0603	TOP
U5	18.881	48.350	270.000	74LVC4245APW	TSSOP024_065_0780_0660_110	TOP
C6	19.603	69.604	180.000	10uF	C0805	TOP
J6	56.959	50.500	0.000	PAD-1x1	PAD_1x1	TOP
R6	29.102	31.158	90.000	1K	R0603	TOP
U6	49.127	68.040	180.000	MPU9250	QFN24E_040_300_300_100	TOP
C7	13.433	53.732	270.000	100nF	C0603	TOP
J7	56.959	52.000	0.000	PAD-1x1	PAD_1x1	TOP
J10	56.959	46.000	0.000	PAD-1x1	PAD_1x1	TOP
J11	56.959	47.500	0.000	PAD-1x1	PAD_1x1	TOP
C13	51.274	58.943	270.000	100nF	C0603	TOP
J12	56.959	53.500	0.000	PAD-1x1	PAD_1x1	TOP
R7	24.002	31.158	90.000	1K	R0603	TOP
R10	21.475	5.276	270.000	1K	R0603	TOP
C14	37.953	40.563	90.000	100nF	C0603	TOP
J13	56.959	55.000	0.000	PAD-1x1	PAD_1x1	TOP
R11	24.010	5.276	270.000	1K	R0603	TOP
C15	32.497	60.315	0.000	100nF	C0603	BOTTOM
J14	56.959	56.500	0.000	PAD-1x1	PAD_1x1	TOP
R12	31.635	5.276	270.000	1K	R0603	TOP
C16	30.314	42.450	90.000	100nF	C0603	TOP
J15	56.959	58.000	0.000	PAD-1x1	PAD_1x1	TOP
R13	34.175	5.276	270.000	1K	R0603	TOP
C17	51.234	45.555	90.000	100nF	C0603	TOP
J16	56.969	59.500	0.000	PAD-1x1	PAD_1x1	TOP
R14	38.622	72.950	90.000	1K	R0603	TOP
C8	24.361	52.690	270.000	100nF	C0603	TOP
C18	41.345	52.260	270.000	10uF	C0805	BOTTOM
C20	21.117	53.888	0.000	10uF	C0805	TOP
J17	56.959	44.500	0.000	PAD-1x1	PAD_1x1	TOP
R15	40.636	72.917	90.000	1K	R0603	TOP
C21	16.617	53.888	180.000	10uF	C0805	TOP
C19	19.452	72.885	180.000	10uF	C0805	TOP
R16	42.555	73.002	90.000	1K	R0603	TOP
J20	5.465	73.091	90.000	MICROMATCH-4	AMP7-188275-4	TOP
J18	5.465	35.517	90.000	MICROMATCH-4	AMP7-188275-4	TOP
J8	32.442	74.447	180.000	FTSH-105-01-L-DV	FTSH-105-01-L-DV	TOP
C22	42.044	38.062	90.000	15pF	C0603	TOP
R17	42.580	70.202	90.000	10K	R0603	TOP
J21	5.465	60.562	90.000	MICROMATCH-4	AMP7-188275-4	TOP
J19	5.465	48.053	90.000	MICROMATCH-4	AMP7-188275-4	TOP
C23	40.168	38.046	90.000	15pF	C0603	TOP
R18	57.132	70.848	270.000	4.7K	R0603	TOP
R8	22.794	40.365	180.000	10K	R0603	BOTTOM
R20	29.733	48.007	270.000	0	R0603	TOP
C24	15.637	43.800	90.000	10nF	C0402	BOTTOM
R19	55.057	70.795	270.000	4.7K	R0603	TOP
C25	17.192	43.607	90.000	10uF	C0603	BOTTOM
C27	45.144	67.848	0.000	100nF	C0603	TOP
C9	35.811	63.317	270.000	2.2uF	C0603	TOP
C28	47.215	63.329	0.000	100nF	C0603	TOP
C30	14.583	53.616	0.000	47uF	CHIMIQUE_C	BOTTOM
C29	47.627	64.908	0.000	10nF	C0402	TOP
J9	57.603	76.474	180.000	JUMPER 5PTS	BAR05P2.54/W2.54_1	TOP
R9	22.795	42.165	0.000	18K	R0603	BOTTOM
